modelo,tipo,termo,coef,erro_padrao,p,ci95_inf,ci95_sup,papel
MUNI_CR4,OLS_municipio_HC3,log_instr_por_forn,0.03917199991894556,0.019460441616752144,0.04412473430608267,0.0010302352268669324,0.07731376461102418,concentracao_robustez
WLS_Exposicao_strength_LOO,WLS_peso_municipio_cluster,Intercept,1.1494226243778982,0.30605249213676106,0.00017289988241358633,0.5495707624111185,1.749274486344678,exposicao_externa_preferencial
WLS_Exposicao_strength_LOO,WLS_peso_municipio_cluster,C(regiao)[T.Nordeste],-0.03508848395632002,0.0309512511109107,0.2569332813929691,-0.09575182141016034,0.02557485349752029,exposicao_externa_preferencial
WLS_Exposicao_strength_LOO,WLS_peso_municipio_cluster,C(regiao)[T.Norte],-0.06988075403198467,0.04593795445311288,0.12820999559761992,-0.1599174902835273,0.020155982219557972,exposicao_externa_preferencial
WLS_Exposicao_strength_LOO,WLS_peso_municipio_cluster,C(regiao)[T.Sudeste],0.03325762698206809,0.02768479970544504,0.22963657190440812,-0.02100358335980928,0.08751883732394547,exposicao_externa_preferencial
WLS_Exposicao_strength_LOO,WLS_peso_municipio_cluster,C(regiao)[T.Sul],0.1702966989654834,0.026215371508513347,8.244926538926664e-11,0.11891551496745978,0.22167788296350704,exposicao_externa_preferencial
WLS_Exposicao_strength_LOO,WLS_peso_municipio_cluster,log_populacao,-0.03107493214274487,0.007212282466877449,1.642817270569878e-05,-0.04521074602415437,-0.016939118261335376,exposicao_externa_preferencial
WLS_Exposicao_strength_LOO,WLS_peso_municipio_cluster,log_despesa_pc,-0.06638603564014425,0.02999922879353176,0.0269028345850935,-0.12518344363944348,-0.0075886276408450234,exposicao_externa_preferencial
WLS_Exposicao_strength_LOO,WLS_peso_municipio_cluster,log_n_fornecedores,0.007199925111415827,0.011429928550922789,0.5287478130487726,-0.015202323194258929,0.029602173417090583,exposicao_externa_preferencial
WLS_Exposicao_strength_LOO,WLS_peso_municipio_cluster,log_instr_por_forn,0.1556273589824462,0.03068443821487157,3.939337414022677e-07,0.09548696519545341,0.215767752769439,exposicao_externa_preferencial
MUNI_Exposicao_strength_LOO,OLS_municipio_HC3,Intercept,1.0931579767738044,0.3089465406661634,0.0004026508575970262,0.48763388391988494,1.6986820696277238,exposicao_externa_preferencial
MUNI_Exposicao_strength_LOO,OLS_municipio_HC3,C(regiao)[T.Nordeste],-0.028895695042682898,0.03169805177570209,0.36198345838549206,-0.0910227349031449,0.033231344817779104,exposicao_externa_preferencial
MUNI_Exposicao_strength_LOO,OLS_municipio_HC3,C(regiao)[T.Norte],-0.06502037539187136,0.04770505579164355,0.17289318453630942,-0.15852056662396663,0.028479815840223924,exposicao_externa_preferencial
MUNI_Exposicao_strength_LOO,OLS_municipio_HC3,C(regiao)[T.Sudeste],0.03402771637123174,0.02809366458753421,0.22580962732921328,-0.021034854414083627,0.0890902871565471,exposicao_externa_preferencial
MUNI_Exposicao_strength_LOO,OLS_municipio_HC3,C(regiao)[T.Sul],0.15226742319233008,0.02705467852668378,1.8216693116919996e-08,0.0992412276667207,0.20529361871793947,exposicao_externa_preferencial
MUNI_Exposicao_strength_LOO,OLS_municipio_HC3,log_populacao,-0.02976600032610984,0.007321611235732433,4.7929879316157534e-05,-0.04411609465694921,-0.015415905995270473,exposicao_externa_preferencial
MUNI_Exposicao_strength_LOO,OLS_municipio_HC3,log_despesa_pc,-0.06378641264673897,0.030207660098856254,0.034721006785089714,-0.12299233849772487,-0.004580486795753062,exposicao_externa_preferencial
MUNI_Exposicao_strength_LOO,OLS_municipio_HC3,log_n_fornecedores,0.010370101273988595,0.013946153346005921,0.45712971398036895,-0.01696385700705578,0.03770405955503297,exposicao_externa_preferencial
MUNI_Exposicao_strength_LOO,OLS_municipio_HC3,log_instr_por_forn,0.20756188845537618,0.03698806403180438,2.0047477842524565e-08,0.1350666150951782,0.28005716181557416,exposicao_externa_preferencial
WLS_Exposicao_degree_LOO,WLS_peso_municipio_cluster,Intercept,1.0596676416029778,0.30515705546442534,0.0005155735349546215,0.46157080326441235,1.6577644799415432,exposicao_externa_complementar
WLS_Exposicao_degree_LOO,WLS_peso_municipio_cluster,C(regiao)[T.Nordeste],-0.07400492565475279,0.029319091186325953,0.011598808926575875,-0.1314692884393974,-0.016540562870108196,exposicao_externa_complementar
WLS_Exposicao_degree_LOO,WLS_peso_municipio_cluster,C(regiao)[T.Norte],-0.1111991239151645,0.03988417189023143,0.005302611904872847,-0.18937066437322292,-0.033027583457106074,exposicao_externa_complementar
WLS_Exposicao_degree_LOO,WLS_peso_municipio_cluster,C(regiao)[T.Sudeste],0.020705872084806162,0.02754495038474765,0.45222422124404715,-0.03328123862524193,0.07469298279485426,exposicao_externa_complementar
WLS_Exposicao_degree_LOO,WLS_peso_municipio_cluster,C(regiao)[T.Sul],0.171163292071381,0.027948123333350963,9.107085582605347e-10,0.1163859769025296,0.2259406072402324,exposicao_externa_complementar
WLS_Exposicao_degree_LOO,WLS_peso_municipio_cluster,log_populacao,-0.02764239906362128,0.007412898080420215,0.00019227180666341092,-0.042171412322311,-0.013113385804931557,exposicao_externa_complementar
WLS_Exposicao_degree_LOO,WLS_peso_municipio_cluster,log_despesa_pc,-0.05628472599402909,0.03002148420355269,0.06081819222070548,-0.11512575379543051,0.0025563018073723326,exposicao_externa_complementar
WLS_Exposicao_degree_LOO,WLS_peso_municipio_cluster,log_n_fornecedores,-0.005456598094536431,0.011674622577310622,0.6402211057192552,-0.028338437879163434,0.017425241690090573,exposicao_externa_complementar
WLS_Exposicao_degree_LOO,WLS_peso_municipio_cluster,log_instr_por_forn,0.2008956350971421,0.03213857661324757,4.080448050766704e-10,0.13790518242079558,0.2638860877734886,exposicao_externa_complementar
MUNI_Exposicao_degree_LOO,OLS_municipio_HC3,Intercept,0.9834056692847266,0.3063650887605652,0.0013277456740170984,0.382941129193602,1.5838702093758512,exposicao_externa_complementar
MUNI_Exposicao_degree_LOO,OLS_municipio_HC3,C(regiao)[T.Nordeste],-0.0652208314695142,0.03014274990806552,0.03048492633599293,-0.12429953568432064,-0.006142127254707759,exposicao_externa_complementar
MUNI_Exposicao_degree_LOO,OLS_municipio_HC3,C(regiao)[T.Norte],-0.10369027576069972,0.0414465407841489,0.01235694313830603,-0.18492400298140205,-0.022456548539997387,exposicao_externa_complementar
MUNI_Exposicao_degree_LOO,OLS_municipio_HC3,C(regiao)[T.Sudeste],0.02199712754448735,0.028042202371227738,0.4327882020508812,-0.03296457915030272,0.07695883423927742,exposicao_externa_complementar
MUNI_Exposicao_degree_LOO,OLS_municipio_HC3,C(regiao)[T.Sul],0.14638625980564368,0.02853509627637277,2.8967659856304226e-07,0.09045849880857004,0.20231402080271732,exposicao_externa_complementar
MUNI_Exposicao_degree_LOO,OLS_municipio_HC3,log_populacao,-0.026007786257684545,0.007522532042994819,0.0005455804078190438,-0.0407516781345029,-0.011263894380866188,exposicao_externa_complementar
MUNI_Exposicao_degree_LOO,OLS_municipio_HC3,log_despesa_pc,-0.05305932877626246,0.030056054632300128,0.0775056723084348,-0.11196811337293897,0.005849455820414046,exposicao_externa_complementar
MUNI_Exposicao_degree_LOO,OLS_municipio_HC3,log_n_fornecedores,0.0004855306072412299,0.013976968788647678,0.9722887357206776,-0.026908824831548644,0.027879886046031106,exposicao_externa_complementar
MUNI_Exposicao_degree_LOO,OLS_municipio_HC3,log_instr_por_forn,0.26935161402082786,0.03799234532107761,1.3447249291795188e-12,0.19488798550330688,0.34381524253834883,exposicao_externa_complementar
WLS_Exposicao_strength_raw,WLS_peso_municipio_cluster,Intercept,0.6375528067456104,0.2236930215217164,0.004370221377052156,0.19912254097010307,1.075983072521118,historico_mecanicamente_contaminado
WLS_Exposicao_strength_raw,WLS_peso_municipio_cluster,C(regiao)[T.Nordeste],0.04337700564730195,0.017539864809356993,0.013396448009172758,0.008999502327260746,0.07775450896734315,historico_mecanicamente_contaminado
WLS_Exposicao_strength_raw,WLS_peso_municipio_cluster,C(regiao)[T.Norte],0.034758451216564054,0.03411985597650368,0.30833770281058825,-0.03211523765507687,0.10163214008820498,historico_mecanicamente_contaminado
WLS_Exposicao_strength_raw,WLS_peso_municipio_cluster,C(regiao)[T.Sudeste],-0.01744975625737566,0.017624821912627518,0.3221413246362277,-0.05199377244005794,0.017094259925306624,historico_mecanicamente_contaminado
WLS_Exposicao_strength_raw,WLS_peso_municipio_cluster,C(regiao)[T.Sul],0.036158163855669334,0.014622938814955412,0.013409606619846283,0.007497730430223906,0.06481859728111476,historico_mecanicamente_contaminado
WLS_Exposicao_strength_raw,WLS_peso_municipio_cluster,log_populacao,0.011432667517230866,0.004357114236362113,0.008692722595254897,0.0028928805374343856,0.019972454497027347,historico_mecanicamente_contaminado
WLS_Exposicao_strength_raw,WLS_peso_municipio_cluster,log_despesa_pc,-0.010038938890437193,0.022049063173728876,0.6488934123086076,-0.05325430860379421,0.03317643082291982,historico_mecanicamente_contaminado
WLS_Exposicao_strength_raw,WLS_peso_municipio_cluster,log_n_fornecedores,0.03162105751386541,0.006611924321555484,1.7318971233855528e-06,0.01866192397511223,0.04458019105261859,historico_mecanicamente_contaminado
WLS_Exposicao_strength_raw,WLS_peso_municipio_cluster,log_instr_por_forn,0.047287314564076796,0.014549235166866023,0.0011534086540864457,0.018771337634415786,0.07580329149373781,historico_mecanicamente_contaminado
MUNI_Exposicao_strength_raw,OLS_municipio_HC3,Intercept,0.6445643377533723,0.22818093434616044,0.0047310890615836765,0.1973379244761992,1.0917907510305453,historico_mecanicamente_contaminado
MUNI_Exposicao_strength_raw,OLS_municipio_HC3,C(regiao)[T.Nordeste],0.04147339218905184,0.0176934256609949,0.019078164344651722,0.006794915130365037,0.07615186924773865,historico_mecanicamente_contaminado
MUNI_Exposicao_strength_raw,OLS_municipio_HC3,C(regiao)[T.Norte],0.031481728217567465,0.03542320403285214,0.37414723132660066,-0.03794647590383672,0.10090993233897165,historico_mecanicamente_contaminado
MUNI_Exposicao_strength_raw,OLS_municipio_HC3,C(regiao)[T.Sudeste],-0.018263393763748373,0.017669513819529654,0.3013183217928487,-0.05289500447435926,0.016368216946862517,historico_mecanicamente_contaminado
MUNI_Exposicao_strength_raw,OLS_municipio_HC3,C(regiao)[T.Sul],0.03939058454610057,0.015376288985300366,0.010413891927582799,0.009253611919031918,0.06952755717316922,historico_mecanicamente_contaminado
MUNI_Exposicao_strength_raw,OLS_municipio_HC3,log_populacao,0.01167421361087901,0.004437983046269998,0.008525376261855108,0.002975926676190458,0.02037250054556756,historico_mecanicamente_contaminado
MUNI_Exposicao_strength_raw,OLS_municipio_HC3,log_despesa_pc,-0.009498167945532212,0.022512497312824693,0.6730932979151468,-0.053621851880723354,0.034625515989658934,historico_mecanicamente_contaminado
MUNI_Exposicao_strength_raw,OLS_municipio_HC3,log_n_fornecedores,0.026454690199284012,0.008384002109755645,0.0016029065468857455,0.010022348017855117,0.04288703238071291,historico_mecanicamente_contaminado
MUNI_Exposicao_strength_raw,OLS_municipio_HC3,log_instr_por_forn,0.04643254638347433,0.019380641356101565,0.016583189301333828,0.008447187328227745,0.08441790543872091,historico_mecanicamente_contaminado
