orgao_cnpj,n_municipios,n_instrumentos_mapeados,municipio_ibge,municipio,uf,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,count_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_hhi_norm,count_hhi_norm,hhi_gap_value_count,hhi_norm_gap_value_count,exposicao_degree_global,exposicao_strength_global,integracao_siconfi_principal,cod_ibge,despesa_empenhada_2025,despesa_liquidada_2025,despesa_paga_2025,populacao_siconfi_2025,liquidada_sobre_empenhada,paga_sobre_empenhada,despesa_empenhada_per_capita,exposicao_strength,exposicao_degree,procurement_intensity_parcial,log_despesa_empenhada,log_populacao_siconfi,log_despesa_per_capita,instrumentos_por_fornecedor
00536717000152,1,15,3200300,Alfredo Chaves,ES,548712.75,15,15,0.0863123771695586,0.0666666666666666,0.1202815134148058,0.4476101202313961,11.585823873620388,0.0210489755388128,0.0,0.0196457105028919,0.0210489755388128,0.5122307930401889,0.6338541480284949,True,3200300,125731832.1,121838651.42,120454168.77,13303.0,0.9690358390951976,0.9580244458236921,9451.389318198902,0.6338541480284949,0.5122307930401889,0.004364151391380226,18.649661880164462,9.495744852683906,9.153917027480556,1.0
00569168000112,1,11,4215653,Santa Rosa do Sul,SC,123197.82,11,11,0.944289681876618,0.0909090909090909,0.9716081015069912,0.9930149738039196,1.0589970632874723,0.93871865006428,0.0,0.8533805909675272,0.93871865006428,0.9893425469076867,0.9706903916586926,True,4215653,75185289.3,70853079.94,69710300.0,9308.0,0.9423795612102539,0.9271800461104298,8077.491330038676,0.9706903916586926,0.9893425469076867,0.0016385894254981608,18.135466148773144,9.138629524422182,8.996836624350962,1.0
00634997000131,1,8,3167202,Sete Lagoas,MG,10571405.96,8,8,0.1492468822645694,0.125,0.1975571497208872,0.7023498915937951,6.700307469252881,0.0277107225880793,0.0,0.0242468822645694,0.0277107225880793,0.4347717197159859,0.9544976656482108,True,3167202,1493652931.85,1365688651.36,1317259156.64,233398.0,0.9143279688598698,0.8819044428269404,6399.5961055793105,0.9544976656482108,0.4347717197159859,0.007077551775636748,21.124490588670692,12.360500429817588,8.763990158853105,1.0
00675468000186,1,61,5204508,Caldas Novas,GO,6357767.28,61,52,0.1509875868592134,0.0233808116097823,0.3388899506872167,0.6067207889370874,6.623061013170823,0.1343402846407667,0.0042314157589937,0.1276067752494311,0.1301088688817729,0.7268849394722418,0.8810552586902395,True,5204508,619492442.1,618171380.34,581170603.17,93483.0,0.9978675094799837,0.9381399411426329,6626.792487404127,0.8810552586902395,0.7268849394722418,0.01026286496482182,20.244411058959052,11.445534880564031,8.79887617839502,1.1730769230769231
00879976000186,1,141,4115804,Medianeira,PR,12443340.0,141,135,0.0155965741590211,0.0076957899502037,0.0562549926305959,0.1418429457042884,64.11664445051169,0.0082502799363273,0.0002905346513246,0.0079007842088174,0.0079597452850026,0.3989296410860706,0.7317832941197299,True,4115804,349550303.12,318420851.59,317796417.05,54390.0,0.9109442868389865,0.9091578929081948,6426.738428387572,0.7317832941197299,0.3989296410860706,0.0355981382048129,19.672158038093972,10.903935592417007,8.768222445676964,1.0444444444444445
00955107000193,1,328,3543907,Rio Claro,SP,12650330.57,328,95,0.2240746394220999,0.0265838786436644,0.3699508067479694,0.781367313312825,4.462798657532381,0.2158201143095691,0.0162283879909375,0.1974907607784354,0.1995917263186316,0.4826799609350993,0.9269717984721229,True,3543907,1460461802.91,1411186984.88,1262954013.02,206950.0,0.9662607964605313,0.8647634676261565,7057.075636192318,0.9269717984721229,0.4826799609350993,0.00866187020077756,21.10201852601631,12.240232497176878,8.861786028839429,3.4526315789473685
00956081000106,1,6,3202900,Itarana,ES,106151.38,6,6,0.2320739326466755,0.1666666666666666,0.3101504662492376,0.8874422546367273,4.308971665173896,0.0784887191760106,3.3306690738754695e-17,0.0654072659800088,0.0784887191760106,0.5662804573296113,0.5330387652924302,True,3202900,78064468.82,74816348.24,74816348.24,12452.0,0.9583918185943279,0.9583918185943279,6269.2313539993565,0.5330387652924302,0.5662804573296113,0.0013597912290258766,18.173045566604884,9.4296365315615,8.743409035043385,1.0
00999472000108,1,80,5220454,Senador Canedo,GO,26941823.0,80,80,0.0272457073150733,0.0125,0.0534484990121121,0.2137939960484485,36.70302952446245,0.0149323618380489,3.513364001978343e-18,0.0147457073150733,0.0149323618380489,0.5166812450112631,0.8861198435053071,True,5220454,1200186494.14,1168740174.46,1167906836.04,153522.0,0.9737988055743511,0.9731044647997558,7817.684072250232,0.8861198435053071,0.5166812450112631,0.022448030478217723,20.90574279344854,11.941599158215274,8.964143635233265,1.0
01071994000108,1,27,4120358,Pranchita,PR,2374612.26,27,27,0.1737828224387252,0.037037037037037,0.2736810598291108,0.7285865693290069,5.754308659318696,0.1420052386863685,0.0,0.1367457854016882,0.1420052386863685,0.5887038803245653,0.8823631799097059,True,4120358,59303645.09,59271835.0,58953889.08,5705.0,0.9994636064958279,0.9941022847841948,10395.029814198073,0.8823631799097059,0.5887038803245653,0.0400415903001621,17.898181330712898,8.649098262296176,9.249083068416724,1.0
01210830000106,1,15,1709500,Gurupi,TO,467884.52,15,15,0.2115697380398444,0.0666666666666666,0.4167695054326653,0.6934959079218949,4.726573891260727,0.1552532907569761,0.0,0.1449030713731777,0.1552532907569761,0.73455643166781,0.7186349699352569,True,1709500,716196129.85,686095789.63,675843710.71,83817.0,0.9579719311994827,0.9436573063464454,8544.759772480524,0.7186349699352569,0.73455643166781,0.0006532910476603576,20.389464611785996,11.336391129857876,9.05307348192812,1.0
