orgao_cnpj,portfolio_hhi,portfolio_hhi_norm,n_fornecedores,n_instrumentos,exposicao_strength_global,exposicao_degree_global,exposicao_strength_loo,exposicao_degree_loo,contribuicao_propria_strength_media_ponderada,delta_strength_loo,delta_degree_loo,discordancia_strength_raw,discordancia_strength_loo,discordancia_degree_loo
44761693000100,0.1853777391488275,0.0835499565424309,9,10,0.7144995534433196,0.4545311313339575,0.061939155212511386,0.08108139948870124,0.9280691425746211,-0.6525603982308082,-0.37344973184525626,False,False,False
44798711000129,0.6625019808747534,0.5950023770497042,6,9,0.8452847883032828,0.4284559873085117,0.01752757381926412,0.02414474287517079,0.98587989017263,-0.8277572144840186,-0.40431124443334093,False,False,False
44848243000150,0.1680900227941227,0.1126293576470642,16,17,0.902920284028211,0.5525691545558362,0.09590391010852198,0.13817599846317277,0.9637313138314482,-0.8070163739196891,-0.4143931560926635,False,False,False
44956238000160,0.454772128500849,0.4440813859224343,52,84,0.9019272806821684,0.5323270438697453,0.17222689266377747,0.19339508244867556,0.836153943096907,-0.729700388018391,-0.33893196142106974,False,False,False
45084018000157,0.147171580743376,0.0618887388177136,11,12,0.7125239623175279,0.9905746419785976,0.7087087184733939,0.9893309586076023,0.02593320161660772,-0.0038152438441340086,-0.00124368337099523,False,True,True
45102052000107,0.183349643214764,0.1091087016888334,12,14,0.7738180769317783,0.8260313390371637,0.6033691963402239,0.43977818082081194,0.589455754535684,-0.17044888059155439,-0.3862531582163518,False,False,False
45193699000191,0.2871159988098402,0.2667478844901213,36,115,0.9071390164467816,0.6615927098190424,0.4226711574922734,0.42395045320472946,0.695446813011307,-0.4844678589545082,-0.23764225661431293,False,False,False
45253346000130,0.2365211535446824,0.0456514419308529,5,6,0.7246172826673264,0.4014183565818778,0.00017582932833196577,0.00017582932833196577,1.0,-0.7244414533389945,-0.4012425272535458,False,False,False
45271342000184,0.18154713121985,0.099701844341835,11,13,0.7026210788673606,0.6007589563874766,0.17121953603277906,0.17720855527516616,0.9332994527372684,-0.5314015428345815,-0.4235504011123104,False,False,False
45310125000156,0.1757201606792526,0.0726851807641592,9,10,0.2636896840017865,0.5766134750208621,0.21198644735977146,0.24748828751461024,0.6804044803622183,-0.05170323664201504,-0.32912518750625186,False,False,False
45316509000186,0.2262822536960857,0.2143789037529485,66,128,0.9584766653388004,0.4163453793319026,0.01630659461443541,0.020420600948998474,0.9892637737905802,-0.942170070724365,-0.3959247783829041,True,False,False
