orgao_cnpj,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,count_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_hhi_norm,count_hhi_norm,hhi_gap_value_count,hhi_norm_gap_value_count,exposicao_degree_global,exposicao_strength_global
10628610000198,4434727.59,66,62,0.10813456292076189,0.016988062442607907,0.204262602745347,0.5766737523555534,9.247737013860899,0.09351381805061044,0.0008731126465850861,0.09114650047815398,0.09264070540402536,0.644553334050157,0.8488151989084718
10631880000158,578022.7100999999,390,75,0.06597463620908064,0.038316896778435236,0.17032763294536857,0.40456239125888965,15.157340115236005,0.053352671833527675,0.025321179167333008,0.02765773943064541,0.028031492666194667,0.9983837547387293,0.9682890147269323
10635089000116,27422106.560000002,5,5,0.7029385894695589,0.20000000000000004,0.8263464541069889,0.9997569180184821,1.4225993777843455,0.6286732368369485,3.469446951953614e-17,0.5029385894695588,0.6286732368369485,0.4015583117949503,0.9929955612025145
10642703000177,502052.0,3,3,0.4834919314371254,0.3333333333333333,0.5227346968043151,1.0,2.0682868419905427,0.22523789715568807,0.0,0.15015859810379206,0.22523789715568807,0.41186407112277207,0.8216977895475146
10687065000100,920179.1900000001,7,7,0.30347425467478867,0.14285714285714285,0.46295330803992646,0.8669894393069246,3.29517243916334,0.18738663045392012,0.0,0.16061711181764582,0.18738663045392012,0.48200855756070377,0.8317439871963866
10693825000192,30060.0,1,1,1.0,1.0,1.0,1.0,1.0,,,0.0,,0.9892158011956395,0.9578009612003282
10698251000145,3915071.657,44,31,0.2343843628201926,0.04855371900826445,0.41820388576351414,0.7775083438274857,4.266496228535296,0.20886384158086568,0.016838842975206596,0.18583064381192815,0.19202499860565908,0.5177658506196853,0.8954593812537067
10700103000118,5297663.08,5,3,0.6327263449275409,0.3600000000000001,0.7800104041346472,1.0,1.5804620876257633,0.4490895173913113,0.04000000000000017,0.2727263449275408,0.40908951739131116,0.9702114539062952,0.9920000697751572
10701551000136,2659247.1599999997,160,55,0.4257239799803183,0.055312499999999994,0.6449939989782671,0.7863181322340868,2.3489397990835075,0.4150892388688427,0.03781828703703703,0.3704114799803183,0.37727095183180565,0.8600962044897565,0.8570075146272289
10711980000194,2850004.71,26,13,0.4184718251136392,0.18639053254437876,0.5977533980987702,0.9174454802918554,2.3896471398724213,0.37001114387310907,0.11858974358974365,0.2320812925692604,0.2514214002833654,0.42494666472488635,0.9138440335691604
10713187000124,438000.0,4,4,0.2906736723587915,0.25,0.4246575342465753,1.0,3.4402840542285347,0.05423156314505532,0.0,0.04067367235879149,0.05423156314505532,0.48815921947835694,0.7350681559437539
