orgao_cnpj,portfolio_hhi_mai,portfolio_hhi_norm_mai,portfolio_cr1_mai,portfolio_cr4_mai,count_hhi_mai,count_hhi_norm_mai,exposicao_strength_global_mai,exposicao_degree_global_mai,n_fornecedores_mai,n_instrumentos_mai,quadrante_mai,exposicao_oculta_mai,portfolio_hhi_jun,portfolio_hhi_norm_jun,portfolio_cr1_jun,portfolio_cr4_jun,count_hhi_jun,count_hhi_norm_jun,exposicao_strength_global_jun,exposicao_degree_global_jun,n_fornecedores_jun,n_instrumentos_jun,quadrante_jun,exposicao_oculta_jun,delta_hhi,delta_hhi_norm,delta_exposicao_strength,quadrante_estavel
30649011000168,0.2139197743682739,0.1353117518051012,0.3757036745051181,0.7509515773395252,0.0972222222222222,0.0069444444444444,0.884749767444861,0.9890045759116488,11,12,baixo_baixo,False,0.2139197743682739,0.1353117518051012,0.3757036745051181,0.7509515773395252,0.0972222222222222,0.0069444444444444,0.8920095982745395,0.991074091114176,11,12,baixo_baixo,False,0.0,0.0,0.007259830829678515,True
30695182000123,0.2875659433543475,0.198511686273641,0.4192746204551237,0.9451912410764184,0.1377777777777778,0.03,0.7013767283024692,0.5477879480871509,9,15,baixo_baixo,False,0.2900996203156757,0.2112218003507508,0.4303637599042609,0.939691074530601,0.1412742382271468,0.0458602646968297,0.6971857675595199,0.5437298954025378,10,19,baixo_baixo,False,0.002533676961328224,0.012710114077109813,-0.0041909607429493345,True
30704185000186,0.5287523184484068,0.4698463582544576,0.7044523249052747,0.941566349617752,0.1111111111111111,0.0,0.9581728785601004,0.4355340884816923,9,9,critico,False,0.5169865100701169,0.4730761928037639,0.6965022436626471,0.930940323256363,0.0833333333333333,1.5139404881252137e-17,0.953076766624852,0.4410890335243995,12,12,critico,False,-0.011765808378289888,0.0032298345493063096,-0.005096111935248393,True
30746268000138,0.1857809662581121,0.0953121847312357,0.3707447357059802,0.6568836214688009,0.1,3.0839528461809905e-17,0.6909789558578703,0.5084599212460293,10,10,baixo_baixo,False,0.1857809662581121,0.0953121847312357,0.3707447357059802,0.6568836214688009,0.1,3.0839528461809905e-17,0.6847956350972035,0.5060621076507307,10,10,baixo_baixo,False,0.0,0.0,-0.006183320760666744,True
30747548000160,0.1577921729849882,0.1430165970724441,0.283894998628053,0.7261109135127686,0.0251826220684352,0.0080805628064779,0.9181491561947086,0.7924213695242968,58,102,baixo_baixo,False,0.1373762582629966,0.1263169795227786,0.2638612247544083,0.6748710469466128,0.0185808187981988,0.0059985216033039,0.9127590696508954,0.8068544208099409,79,139,baixo_baixo,False,-0.020415914721991613,-0.016699617549665507,-0.005390086543813233,True
30753960000193,0.144082336126335,0.126250718128967,0.273965506572113,0.669422334293481,0.0289256198347107,0.0086949035812672,0.8249287114097452,0.6174831087121402,49,66,baixo_baixo,False,0.1114688125969793,0.0966599594735957,0.2274582219486914,0.5740439456522692,0.0235262303948079,0.0072516675680547,0.8304285140194381,0.7083622881404281,61,86,baixo_baixo,False,-0.032613523529355704,-0.029590758655371294,0.00549980260969285,True
30753994000188,0.1522520442022804,0.1023845173906499,0.2295326173637484,0.6882977166464485,0.0657596371882086,0.0108043217286914,0.963637883137048,0.6308058300746295,18,21,oculta,True,0.1272773345663872,0.087608122501223,0.2075098589635439,0.622258238269851,0.0502958579881656,0.0071274878967186,0.9589082002740932,0.6529554660364288,23,26,oculta,True,-0.024974709635893183,-0.014776394889426891,-0.0047296828629548315,True
30755320000112,0.2451394860118811,0.1507819217633662,0.4004635110582688,0.8586534158869584,0.1111111111111111,0.0,0.8140780301631373,0.4014183565818778,9,9,baixo_baixo,False,0.2451394860118811,0.1507819217633662,0.4004635110582688,0.8586534158869584,0.1111111111111111,0.0,0.8080444216354236,0.3989296410860706,9,9,baixo_baixo,False,0.0,0.0,-0.00603360852771373,True
30773502000116,0.1951932285164349,0.1674412708790706,0.3704987375794424,0.6867406497856708,0.0413223140495867,0.0082644628099173,0.861763533893353,0.7580295462085951,30,33,baixo_baixo,False,0.1377393403465063,0.1193933688645171,0.2628978453707576,0.6501550759105459,0.0242214532871972,0.0034602076124567,0.8554529036145716,0.6947094061927097,48,51,baixo_baixo,False,-0.05745388816992858,-0.0480479020145535,-0.006310630278781426,True
30784957000137,0.2402399284025072,0.2002525562131655,0.4227336519611527,0.822463801391414,0.05,1.460819769243627e-17,0.9294705969859642,0.7935643208018485,20,20,oculta,True,0.2386280541581227,0.1985558464822344,0.421296982299121,0.8196686399792658,0.0537190082644628,0.0039147455415397,0.9253298430847212,0.791478177308717,20,22,baixo_baixo,False,-0.0016118742443845258,-0.0016967097309311119,-0.004140753901243022,False
