municipio_ibge,anexo,exercicio,status,n_registros
4209904,DCA-Anexo I-D,2025,ok,198
4209904,DCA-Anexo I-E,2025,ok,196
4210001,DCA-Anexo I-D,2025,ok,211
4210001,DCA-Anexo I-E,2025,ok,247
4210308,DCA-Anexo I-D,2025,ok,224
4210308,DCA-Anexo I-E,2025,ok,171
4210605,DCA-Anexo I-D,2025,ok,213
4210605,DCA-Anexo I-E,2025,ok,255
4210803,DCA-Anexo I-D,2025,ok,134
4210803,DCA-Anexo I-E,2025,ok,109
4211009,DCA-Anexo I-D,2025,ok,197
4211009,DCA-Anexo I-E,2025,ok,203
4211108,DCA-Anexo I-D,2025,ok,160
4211108,DCA-Anexo I-E,2025,ok,152
4211306,DCA-Anexo I-D,2025,ok,270
4211306,DCA-Anexo I-E,2025,ok,290
4211504,DCA-Anexo I-D,2025,ok,232
4211504,DCA-Anexo I-E,2025,ok,224
4211603,DCA-Anexo I-D,2025,ok,147
4211603,DCA-Anexo I-E,2025,ok,170
4211702,DCA-Anexo I-D,2025,ok,175
4211702,DCA-Anexo I-E,2025,ok,144
4211850,DCA-Anexo I-D,2025,ok,149
4211850,DCA-Anexo I-E,2025,ok,167
4212056,DCA-Anexo I-D,2025,ok,193
4212056,DCA-Anexo I-E,2025,ok,188
4212106,DCA-Anexo I-D,2025,ok,172
4212106,DCA-Anexo I-E,2025,ok,223
4212205,DCA-Anexo I-D,2025,ok,216
4212205,DCA-Anexo I-E,2025,ok,152
4212239,DCA-Anexo I-D,2025,ok,191
4212239,DCA-Anexo I-E,2025,ok,201
4212304,DCA-Anexo I-D,2025,ok,204
4212304,DCA-Anexo I-E,2025,ok,201
4212403,DCA-Anexo I-D,2025,ok,173
4212403,DCA-Anexo I-E,2025,ok,167
4212502,DCA-Anexo I-D,2025,ok,250
4212502,DCA-Anexo I-E,2025,ok,261
4212650,DCA-Anexo I-D,2025,ok,181
4212650,DCA-Anexo I-E,2025,ok,160
4212809,DCA-Anexo I-D,2025,ok,272
4212809,DCA-Anexo I-E,2025,ok,279
4212908,DCA-Anexo I-D,2025,ok,208
4212908,DCA-Anexo I-E,2025,ok,270
4213203,DCA-Anexo I-D,2025,ok,257
4213203,DCA-Anexo I-E,2025,ok,256
4213708,DCA-Anexo I-D,2025,ok,174
