orgao_cnpj,portfolio_hhi_from,portfolio_hhi_norm_from,portfolio_cr1_from,portfolio_cr4_from,count_hhi_from,count_hhi_norm_from,n_fornecedores_from,n_instrumentos_from,exposicao_strength_global_from,exposicao_degree_global_from,quadrante_from,exposicao_oculta_from,portfolio_hhi_to,portfolio_hhi_norm_to,portfolio_cr1_to,portfolio_cr4_to,count_hhi_to,count_hhi_norm_to,n_fornecedores_to,n_instrumentos_to,exposicao_strength_global_to,exposicao_degree_global_to,quadrante_to,exposicao_oculta_to,delta_portfolio_hhi,delta_portfolio_hhi_norm,delta_portfolio_cr1,delta_portfolio_cr4,delta_count_hhi,delta_count_hhi_norm,delta_n_fornecedores,delta_n_instrumentos,delta_exposicao_strength_global,delta_exposicao_degree_global,quadrante_estavel
13019629000125,0.2662083663516498,0.1613809901161712,0.4118663222771008,0.9036170122545902,0.1358024691358024,0.0123456790123456,8,9,0.5064117015221488,0.9419659990056134,baixo_baixo,False,0.1983063302393246,0.131498524425935,0.3261326153814747,0.8163875809403568,0.0816326530612245,0.0051020408163265,13,14,0.3718980428359441,0.932203771254651,baixo_baixo,False,-0.0679020361123252,-0.029882465690236226,-0.0857337068956261,-0.08722943131423344,-0.05416981607457791,-0.0072436381960191,5,5,-0.13451365868620468,-0.00976222775096236,True
13034603000156,0.2349335244358846,0.0436669055448557,0.2993899098947256,0.9099058141520502,0.2,3.4694469519536136e-17,5,5,0.5095045020620012,0.4858574655895836,baixo_baixo,False,0.1536503365128304,0.032743241728949,0.1903861613669168,0.7184307228868401,0.1358024691358024,0.0123456790123456,8,9,0.5189228477988006,0.4531342917591685,baixo_baixo,False,-0.08128318792305422,-0.010923663815906703,-0.10900374852780878,-0.19147509126521012,-0.0641975308641976,0.012345679012345566,3,4,0.00941834573679945,-0.03272317383041512,True
13072654000172,0.2918590495456974,0.0558120660609299,0.3978341290015914,1.0,0.2592592592592592,0.0123456790123456,4,9,0.4556468028636941,0.8914390805326865,baixo_baixo,False,0.2331328983409141,0.0414161229261426,0.3006345122638646,0.9133218668246924,0.2083333333333333,0.0104166666666666,5,12,0.4482991928305174,0.7434843533808487,baixo_baixo,False,-0.058726151204783306,-0.0143959431347873,-0.09719961673772676,-0.08667813317530759,-0.0509259259259259,-0.001929012345679,1,3,-0.007347610033176688,-0.14795472715183777,True
13102858000109,0.0940794922798477,0.0374594605473382,0.1430709867461931,0.4810480556400142,0.0588235294117647,0.0,17,17,0.859691541110431,0.727773611987403,baixo_baixo,False,0.091617703364017,0.0411520202175735,0.1411039690448746,0.4744343454661455,0.0526315789473684,0.0,19,19,0.8585430659773173,0.7388169381700559,baixo_baixo,False,-0.0024617889158306955,0.003692559670235296,-0.001967017701318491,-0.006613710173868692,-0.006191950464396301,0.0,2,2,-0.0011484751331136689,0.011043326182652913,True
13128780003389,0.5302214887344717,0.4940846801755849,0.695886653585733,0.9901845374362852,0.0755555555555555,0.0044444444444444,14,15,0.9958151340497472,0.3980869375320244,critico,False,0.3013861519453306,0.2548118954083527,0.4170807223889247,0.961234526728941,0.0679012345679012,0.0057613168724279,16,18,0.9964927362516248,0.4057699115528037,oculta,True,-0.22883533678914114,-0.23927278476723218,-0.2788059311968083,-0.028950010707344154,-0.007654320987654298,0.0013168724279834995,2,3,0.0006776022018776251,0.007682974020779276,False
13128780003974,0.3401094518065037,0.2081313421678045,0.490165618483934,0.9748230236805832,0.2991507771190514,0.1589809325428617,6,79,0.9723530513212312,0.9076682308038572,oculta,True,0.3377095843153591,0.2430966677889818,0.4878075766900759,0.973972824228312,0.2920085847746497,0.190866954028171,8,89,0.9700254970355308,0.906654027560278,oculta,True,-0.002399867491144625,0.03496532562117732,-0.0023580417938580678,-0.0008501994522711609,-0.007142192344401721,0.03188602148530931,2,10,-0.0023275542857004172,-0.0010142032435791482,True
13128780004431,0.8770609458277532,0.8616935640562223,0.9354019824536394,0.9958798736000792,0.1111111111111111,0.0,9,9,0.9983952114777233,0.4235839893059782,critico,False,0.5521814218332468,0.5177338388973427,0.7328717920842298,0.9199533938244696,0.0714285714285714,0.0,14,14,0.9971711564186488,0.7564027080362006,critico,False,-0.32487952399450637,-0.3439597251588796,-0.20253019036940956,-0.07592647977560962,-0.03968253968253971,0.0,5,5,-0.0012240550590744137,0.3328187187302224,True
13128780004512,0.3228329421658654,0.1873995305990385,0.3554432924724182,0.990579254126214,0.5155709342560557,0.4186851211072668,6,17,0.6640206789060881,0.6122200177242286,baixo_baixo,False,0.3228329421658654,0.1873995305990385,0.3554432924724182,0.990579254126214,0.5155709342560557,0.4186851211072668,6,17,0.6615856333847954,0.6104300532849953,baixo_baixo,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0024350455212927002,-0.0017899644392332936,True
13128780009581,0.4971234606564902,0.3965481527877883,0.6773905186426865,0.9689937232450084,0.24,0.088,6,10,0.91431375216872,0.8078859923069521,hhi_alto,False,0.4971234606564902,0.3965481527877883,0.6773905186426865,0.9689937232450084,0.24,0.088,6,10,0.9110523431591128,0.8037573307001837,hhi_alto,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0032614090096072523,-0.004128661606768391,True
13128780009905,0.0444080316867412,0.0205182324789098,0.1067725782308266,0.3195032307567039,0.0344,0.01026,41,50,0.5362663416991912,0.5104692738262024,baixo_baixo,False,0.3396143513703638,0.3238908835458487,0.5760955633701884,0.6798978623335984,0.0325443786982248,0.0095097210481826,43,52,0.7854528292664936,0.7027215512056688,baixo_baixo,False,0.2952063196836226,0.3033726510669389,0.4693229851393618,0.3603946315768945,-0.0018556213017751969,-0.0007502789518173993,2,2,0.24918648756730244,0.19225227737946637,True
