orgao_cnpj,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,count_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_hhi_norm,count_hhi_norm,hhi_gap_value_count,hhi_norm_gap_value_count,exposicao_degree_global,exposicao_strength_global,pct_hhi_norm,pct_exposure_strength,gap_percentil_exposure_hhi,residuo_exposure_hhi,sobreexposicao_gap_q75,sobreexposicao_resid_q75
01494665000161,636626.3300000001,19,16,0.1688667075487649,0.0692520775623268,0.2931075753652853,0.7045877760035466,5.921830386319472,0.1134578213853492,0.0072022160664819,0.099614629986438,0.1062556053188672,0.5551316530892535,0.7030839203938131,0.38752783964365256,0.2746844840386043,-0.11284335560504827,-0.04852879310429059,False,False
01600293000100,106022.36000000002,68,31,0.3859821789580177,0.0523356401384083,0.5961006715941807,0.8576470095553428,2.5907931881714346,0.3655149182566183,0.0207468281430219,0.3336465388196094,0.3447680901135964,0.640229602990591,0.6974259679021885,0.8114328136599851,0.267260579064588,-0.5441722345953971,-0.1316784027519181,False,False
01610999000153,21492.72,16,15,0.2654354574012554,0.0703125,0.3680502049065915,0.8228925887463289,3.7673941898738583,0.2129665615013451,0.00390625,0.1951229574012554,0.2090603115013451,0.9928763569543252,0.829675278485762,0.6169265033407573,0.48181143281366,-0.13511507052709726,0.04746990455948252,False,False
01648573000199,7256005.920000001,52,42,0.2690944537846748,0.0303254437869822,0.5012133865513716,0.6931273479446114,3.716167263708024,0.2512674892428376,0.0066748448549574,0.2387690099976925,0.2445926443878801,0.7745848589736769,0.9008504056110502,0.6748329621380846,0.6696362286562731,-0.0051967334818114885,0.10686991248304323,False,False
01650166000116,579048.92,18,15,0.2138000615108942,0.074074074074074,0.4144727530102292,0.6717912538374133,4.677267129546848,0.1576429230473867,0.0079365079365079,0.1397259874368202,0.1497064151108788,0.4807390411812353,0.6646036364013711,0.5048255382331106,0.22939866369710468,-0.2754268745360059,-0.10059320859669363,False,False
01743462000161,13438.5,11,9,0.2100500208943957,0.1239669421487603,0.2547903411839119,0.8675149756297206,4.760770771371443,0.1113062735061952,0.0144628099173553,0.0860830787456354,0.0968434635888398,0.9895481794548328,0.8200607591989957,0.3823311061618411,0.45657015590200445,0.07423904974016332,0.06910951095093132,False,False
01746653000187,1974258.3714,795,175,0.0546683460314397,0.020253945650884,0.1829155217125498,0.3489672481476909,18.292120991275272,0.0492354054913905,0.0146232212006017,0.0344144003805557,0.0346121842907888,0.958175253093916,0.9174496340426884,0.1544172234595397,0.726800296956199,0.5723830734966593,0.18558126218764748,True,True
01815216000178,46022370.87,148,129,0.1342201712306583,0.0092220598977355,0.3361843318264494,0.5439633957736607,7.450444972846093,0.1274562663183978,0.0014816072406866,0.1249981113329227,0.1259746590777112,0.4413134603681855,0.9286793666269976,0.4239049740163326,0.7624350408314774,0.3385300668151448,0.17276301435444996,True,True
01823752000115,169659.65000000002,19,9,0.2052672825314581,0.1412742382271468,0.3261055884531177,0.8343702229728753,4.871696978044934,0.1059256928478903,0.0339335180055401,0.0639930443043113,0.0719921748423502,0.870703275889076,0.8161847981796571,0.3645137342242019,0.4506310319227914,0.0861172976985895,0.06688773906909007,False,False
01824828000127,232749.24000000005,126,45,0.4208958445744556,0.0404383975812547,0.6367367730180343,0.8186374314261992,2.37588470613447,0.4077343864966024,0.018630179344465,0.3804574469932009,0.3891042071521373,0.6131953410063103,0.7606257951816885,0.8433556050482554,0.3548626577579807,-0.48849294729027465,-0.08145839869014138,False,False
