municipio_ibge,categoria,ano_assinatura,valor_total,n_fornecedores,hhi,hhi_10000,cr1,cr4,n_efetivo,entropia,entropia_normalizada,exposicao_degree,exposicao_strength,n_instrumentos,datas_sentinela,interpretavel_piloto
1705508,Serviços de Engenharia,2025,2345720.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.51,0.86,1,1,False
1705508,Serviços de Saúde,2025,0.01,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.49907578558225507,0.0018484288354898336,1,1,False
1707009,Compras,2025,60624.0,7.0,0.18045182924850187,1804.5182924850187,0.2518804433887569,0.775765373449459,5.541645125818541,1.7971622321708958,0.9235586920821444,0.7080396383748349,0.6916914338392672,7,1,False
1707009,Serviços,2025,66000.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48793407886992346,0.7566215420835786,1,1,False
1707009,Serviços de Saúde,2025,2473736.4,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.49907578558225507,0.977818853974122,1,1,False
1709500,Cessão,2025,1415706.1600000001,14.0,0.1791458808245345,1791.458808245345,0.2590628340559032,0.7788966956250298,5.582042943981815,1.8568686448304303,0.7036105748794547,0.5131578947368421,0.9042807777063152,42,7,True
1709500,Compras,2025,247688.71,12.0,0.1253255800432246,1253.2558004322461,0.22306224615566855,0.6075206253849843,7.97921700944932,2.2511943988319367,0.9059472713085609,0.40946103140752227,0.6654925807973578,12,1,False
1709500,Serviços,2025,49955.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48793407886992346,0.6686286050618011,1,1,False
1711902,Compras,2025,4185921.68,14.0,0.23642738545805309,2364.273854580531,0.33372258412632316,0.8760867570747285,4.229628467373209,1.7423582314063686,0.6602199246881775,0.40946103140752227,0.9526498034292734,20,3,True
1711902,Mão de Obra,2025,49734.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5384615384615384,0.6153846153846154,1,1,False
1711902,Obras,2025,250000.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5104166666666666,0.3333333333333333,1,1,False
1711902,Serviços,2025,482547.5,13.0,0.14651796787378527,1465.1796787378526,0.25904185598308976,0.6564120630611495,6.825101484218156,2.109795427750072,0.8225485706423776,0.48793407886992346,0.7099147326605256,15,3,True
1713809,Serviços,2025,31200.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48793407886992346,0.562978222483814,1,1,False
1714880,Compras,2025,95259.2,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.40946103140752227,0.8452888716556805,1,1,False
1714880,Serviços,2025,82416.0,3.0,0.3662716763299887,3662.716763299887,0.4732090856144438,1.0,2.7302138402289677,1.0500091156147688,0.9557594853483166,0.4879340788699235,0.5508803355840206,3,1,False
1716505,Serviços,2025,146000.14,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48793407886992346,0.848145968216598,3,1,False
1718204,Compras,2025,1168990.4593,13.0,0.2457736333919338,2457.736333919338,0.4495117952584987,0.7488324417328287,4.0687847032204045,1.8359622400290405,0.7157888847544516,0.4542424728015422,0.880790933466546,15,5,True
1718204,Serviços,2025,11439.36,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.9844025897586816,0.43437316068275456,1,1,False
2100055,Compras,2025,428776.54,3.0,0.8958061681641183,8958.061681641182,0.9454704541437832,1.0,1.1163129207397828,0.24163049165228037,0.21994155185103414,0.40946103140752227,0.9235182604866358,3,2,False
2100055,Serviços,2024,405000.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5,0.900709219858156,1,1,False
2100055,Serviços,2025,3240441.61,4.0,0.284308635155256,2843.0863515525602,0.40514604119035497,1.0,3.517304352904784,1.322892011035842,0.9542648719765185,0.48793407886992346,0.9580479785437148,4,2,False
2100956,Obras,2025,1013303.67,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5104166666666666,0.5833333333333334,1,1,False
