categoria,ano_assinatura,fornecedor_id_limpo,degree,strength,n_compradores_categoria,reach,pct_degree,pct_strength
Compras,2025,59488380000106,1,25308.0,467,0.0021413276231263384,0.4003839590443686,0.6638225255972696
Compras,2025,59488802000135,1,5400.0,467,0.0021413276231263384,0.4003839590443686,0.40465017064846415
Compras,2025,59524890000183,1,1290.84,467,0.0021413276231263384,0.4003839590443686,0.18387372013651876
Compras,2025,59555966000138,1,1687.0,467,0.0021413276231263384,0.4003839590443686,0.2235494880546075
Compras,2025,59565097000122,1,11686.35,467,0.0021413276231263384,0.4003839590443686,0.534556313993174
Compras,2025,59591707000162,1,1277.49,467,0.0021413276231263384,0.4003839590443686,0.18302047781569966
Compras,2025,59718739000186,1,1409.74,467,0.0021413276231263384,0.4003839590443686,0.19581911262798635
Compras,2025,59756095000110,1,229.1,467,0.0021413276231263384,0.4003839590443686,0.04436860068259386
Compras,2025,59764011000190,1,8580.0,467,0.0021413276231263384,0.4003839590443686,0.48165529010238906
Compras,2025,59828875000129,1,174000.0,467,0.0021413276231263384,0.4003839590443686,0.886518771331058
Compras,2025,59878383000148,1,1500.0,467,0.0021413276231263384,0.4003839590443686,0.20819112627986347
Compras,2025,59881951000160,1,467900.0,467,0.0021413276231263384,0.4003839590443686,0.947098976109215
Compras,2025,59899869000162,1,3122.58,467,0.0021413276231263384,0.4003839590443686,0.3212457337883959
Compras,2025,59930031000194,1,25780.0,467,0.0021413276231263384,0.4003839590443686,0.6676621160409556
Compras,2025,60137603000161,1,3216.3,467,0.0021413276231263384,0.4003839590443686,0.3263651877133106
Compras,2025,60153301000187,1,9517.4,467,0.0021413276231263384,0.4003839590443686,0.49957337883959047
Compras,2025,60160546000131,1,380261.5,467,0.0021413276231263384,0.4003839590443686,0.9368600682593856
Compras,2025,60184899000171,1,88800.0,467,0.0021413276231263384,0.4003839590443686,0.8272184300341296
Compras,2025,60213146000147,1,8616.0,467,0.0021413276231263384,0.4003839590443686,0.4833617747440273
Compras,2025,60431294000138,1,1178.0,467,0.0021413276231263384,0.4003839590443686,0.17107508532423207
Compras,2025,60431715000120,1,11667.25,467,0.0021413276231263384,0.4003839590443686,0.533703071672355
Compras,2025,60480195000146,1,1764.0,467,0.0021413276231263384,0.4003839590443686,0.2333617747440273
Compras,2025,60543056000114,1,7140.0,467,0.0021413276231263384,0.4003839590443686,0.4539249146757679
Compras,2025,60546801001312,1,119383.43,467,0.0021413276231263384,0.4003839590443686,0.8494027303754266
Compras,2025,60579703000148,1,150341.2,467,0.0021413276231263384,0.4003839590443686,0.8737201365187713
Compras,2025,60580618000108,1,15127.5,467,0.0021413276231263384,0.4003839590443686,0.5836177474402731
Compras,2025,60665981000975,2,80830.0,467,0.004282655246252677,0.841296928327645,0.8178327645051194
Compras,2025,60701271000104,1,6630.0,467,0.0021413276231263384,0.4003839590443686,0.4398464163822526
Compras,2025,60831658001220,1,130572.5,467,0.0021413276231263384,0.4003839590443686,0.8587883959044369
Compras,2025,61100244000130,2,388780.0,467,0.004282655246252677,0.841296928327645,0.9377133105802048
Compras,2025,61103628000107,1,1150.0,467,0.0021413276231263384,0.4003839590443686,0.1697952218430034
Compras,2025,61190096000869,1,270000.0,467,0.0021413276231263384,0.4003839590443686,0.9142491467576792
Compras,2025,61198164000160,3,59750.119999999995,467,0.006423982869379015,0.8959044368600683,0.7909556313993175
Compras,2025,61418042000131,2,1006451.02,467,0.004282655246252677,0.841296928327645,0.9718430034129693
Compras,2025,61485900001132,2,500.0,467,0.004282655246252677,0.841296928327645,0.0927901023890785
Compras,2025,61522328000162,1,6326.49,467,0.0021413276231263384,0.4003839590443686,0.4325938566552901
Compras,2025,61533949000141,1,79701.44,467,0.0021413276231263384,0.4003839590443686,0.8169795221843004
Compras,2025,61561649000176,2,10981.0,467,0.004282655246252677,0.841296928327645,0.5255972696245734
Compras,2025,61613881000100,1,21056.0,467,0.0021413276231263384,0.4003839590443686,0.6377986348122867
Compras,2025,62082585000193,1,4650.0,467,0.0021413276231263384,0.4003839590443686,0.38033276450511944
Compras,2025,62106505000192,1,7702280.0,467,0.0021413276231263384,0.4003839590443686,0.9974402730375427
Compras,2025,62321088000109,1,680.0,467,0.0021413276231263384,0.4003839590443686,0.1190273037542662
Compras,2025,62350851000111,1,4260.56,467,0.0021413276231263384,0.4003839590443686,0.3613481228668942
Compras,2025,62593932000142,1,1209.9,467,0.0021413276231263384,0.4003839590443686,0.1757679180887372
Compras,2025,62780583000178,1,2380.0,467,0.0021413276231263384,0.4003839590443686,0.27559726962457337
Compras,2025,62999871000118,1,2775.0,467,0.0021413276231263384,0.4003839590443686,0.3003412969283277
Compras,2025,63518288000100,1,21677.49,467,0.0021413276231263384,0.4003839590443686,0.640358361774744
Compras,2025,63726078000108,1,30000.0,467,0.0021413276231263384,0.4003839590443686,0.6934726962457338
Compras,2025,63776421000129,1,1548.0,467,0.0021413276231263384,0.4003839590443686,0.21224402730375427
Compras,2025,63833883000130,2,28861.239999999998,467,0.004282655246252677,0.841296928327645,0.6860068259385665
Compras,2025,64058100000151,1,744.0,467,0.0021413276231263384,0.4003839590443686,0.12926621160409557
Compras,2025,64106552000161,1,19407.6,467,0.0021413276231263384,0.4003839590443686,0.6241467576791809
Compras,2025,64641830000180,1,36.0,467,0.0021413276231263384,0.4003839590443686,0.004906143344709898
Compras,2025,65149197000251,17,131652.39,467,0.03640256959314775,0.9793088737201365,0.8600682593856656
Compras,2025,65482309000100,1,4500.0,467,0.0021413276231263384,0.4003839590443686,0.3741467576791809
Compras,2025,65664492000165,1,16419000.0,467,0.0021413276231263384,0.4003839590443686,0.9991467576791809
Compras,2025,65817900000171,3,1227.6,467,0.006423982869379015,0.8959044368600683,0.17704778156996587
