orgao_cnpj,n_municipios,n_instrumentos_mapeados,municipio_ibge,municipio,uf,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,count_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_hhi_norm,count_hhi_norm,hhi_gap_value_count,hhi_norm_gap_value_count,exposicao_degree_global,exposicao_strength_global,integracao_siconfi_principal
02299772000100,1,9,4216602,São José,SC,17680.64,9,9,0.1982636533483986,0.1111111111111111,0.343878954607978,0.7806844096141317,5.043788829225047,0.0980466100169484,0.0,0.0871525422372875,0.0980466100169484,0.9900807102092184,0.6659069658827812,True
02307876000100,1,6,4215703,Santo Amaro da Imperatriz,SC,2058497.08,6,6,0.9919611659947236,0.1666666666666666,0.995969350609912,0.9997974347381636,1.0081039805597785,0.9903533991936684,3.3306690738754695e-17,0.8252944993280569,0.9903533991936684,0.4084552837307427,0.9716531614214748,True
02316487000141,1,25,5213103,Mineiros,GO,16351054.840000002,25,19,0.5783018053518447,0.0688,0.727047894850067,0.9678611107881282,1.729200896046987,0.5548741278713917,0.0170666666666666,0.5095018053518447,0.537807461204725,0.546467140753954,0.9819726116952584,True
02318396000145,1,5,3143906,Muriaé,MG,427427.31,5,5,0.4196316944432021,0.2,0.6048119620620405,0.978978881812676,2.383042113458262,0.2745396180540026,3.4694469519536136e-17,0.2196316944432021,0.2745396180540025,0.4156101214322822,0.7496112560870546,True
02362976000130,1,74,4208203,Itajaí,SC,1099360.0,74,74,0.0161912676635761,0.0135135135135135,0.0480279435307815,0.1178867704846456,61.76168665592513,0.002714435713762,3.5169736225283214e-18,0.0026777541500625,0.002714435713762,0.4223182632338246,0.3958421297918419,True
02396675000127,1,14,4218004,Tijucas,SC,484654.81,14,11,0.6811385407136531,0.1020408163265306,0.8186286235351713,0.9768186970020992,1.4681301089676475,0.6492523947850184,0.0122448979591836,0.5790977243871225,0.6370074968258347,0.9237949049648396,0.878113115158065,True
02406542000194,1,42,4215802,São Bento do Sul,SC,842279.4114999999,42,33,0.3514474483474932,0.0385487528344671,0.4392885976413303,0.9494091041307614,2.845375616474106,0.3311801811083524,0.0085034013605442,0.312898695513026,0.3226767797478082,0.7171032711935544,0.8769746072673764,True
02458148000108,1,7,2514453,São José dos Ramos,PB,133264.0,7,7,0.1498651095904484,0.1428571428571428,0.207107696001921,0.653319726257654,6.672667192068928,0.0081759611888565,0.0,0.0070079667333056,0.0081759611888565,0.567704929552989,0.5239767245980529,True
02482295000105,1,230,4208450,Itapoá,SC,9955278.53,230,78,0.5496088558073645,0.0230623818525519,0.7294874239947559,0.9071282599262444,1.8194757770615249,0.5437596201684991,0.0103748803181695,0.5265464739548126,0.5333847398503295,0.8354977410290116,0.9583999130202968,True
02524947000127,1,5,3301876,Iguaba Grande,RJ,39730.0,5,5,0.2588659583575999,0.2,0.3095897306821042,0.9627485527309338,3.863003101468408,0.0735824479469998,3.4694469519536136e-17,0.0588659583575998,0.0735824479469998,0.6924301098418957,0.555321489944379,True
