orgao_cnpj,n_municipios,n_instrumentos_mapeados,municipio_ibge,municipio,uf,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_entropy_norm,count_hhi,count_neff,hhi_gap_value_minus_count,exposicao_degree,exposicao_strength,integracao_siconfi_principal
44318534000136,1,42,5220009,São João d'Aliança,GO,1279359.55,42,28,0.2181331582235244,0.3669797126226165,0.7982864160430896,4.584355758400033,0.5863231740599836,0.0476190476190476,21.0,0.1705141106044768,0.6898989971171393,0.8487703876448571,True
44392215000170,1,36,3548807,São Caetano do Sul,SP,400085.54,36,30,0.0970132867319591,0.1932080324622579,0.525801907262132,10.30786641383391,0.780130585931802,0.0385802469135802,25.919999999999987,0.0584330398183788,0.5359471197678136,0.5415029936211285,True
44483469000102,1,6,3540002,Pompéia,SP,609817.0,6,6,0.1869614312469465,0.2473479748842685,0.790945480365421,5.348696751680071,0.9596081211925724,0.1666666666666666,5.999999999999999,0.0202947645802799,0.4095272879056663,0.7345053297792155,True
44497659000170,1,29,3505302,Barra Bonita,SP,157268.69,29,26,0.1311513017374627,0.2028375768883177,0.666375487708329,7.624781353690176,0.7082534597097238,0.0487514863258026,20.512195121951223,0.0823998154116601,0.4095272879056663,0.4082437361584866,True
44544005000150,1,11,3535309,Palmital,SP,2079119.33,11,6,0.369658195077565,0.4578396806113096,0.9687367631755892,2.7052017602103238,0.6661295673248462,0.2396694214876032,4.172413793103448,0.1299887735899617,0.4095272879056663,0.909064922324082,True
44616474000138,1,56,5208509,Goiandira,GO,436504.52,56,42,0.044153371801185,0.088200690338785,0.2835022189460948,22.64832693871776,0.8900467111661451,0.0325255102040816,30.74509803921569,0.0116278615971033,0.482620787394099,0.4141392747492671,True
44699908000100,1,39,3503307,Araras,SP,170506.09000000003,39,30,0.0734135242638101,0.1485507057255257,0.4316914428100485,13.621468387847964,0.8434831795818825,0.0427350427350427,23.40000000000001,0.0306784815287674,0.6637853628136378,0.4098132003667384,True
44848243000150,1,10,3300506,Bom Jardim,RJ,242864.39,10,10,0.1594220671086793,0.2826227426754494,0.6940883758215851,6.272657343718243,0.8663003179451112,0.1,9.999999999999996,0.0594220671086793,0.5000072121381521,0.5494449263593068,True
44956238000160,1,23,5209705,Hidrolândia,GO,4356656.38,23,19,0.7739207598327729,0.8791145470141485,0.9180274162452996,1.292121948267776,0.2360642641035476,0.0623818525519848,16.03030303030303,0.711538907280788,0.4457002736220676,0.9432701822189008,True
45102052000107,1,8,5206701,Damianópolis,GO,457323.49,8,7,0.4160432944071061,0.6191552723434346,0.9044007120648886,2.403596004173261,0.6589599438295013,0.15625,6.4,0.2597932944071061,0.8361033461030618,0.79765819724377,True
