cod_ibge,despesa_empenhada_2025,despesa_liquidada_2025,despesa_paga_2025,populacao_siconfi_2025,liquidada_sobre_empenhada,paga_sobre_empenhada,despesa_empenhada_per_capita
3204559,294813578.21,278222960.79,275901769.3,46523,0.9437250566248268,0.9358516353798033,6336.942549061754
3204609,155587046.98,140711545.01,139704603.37,25755,0.9043911285756829,0.8979192425186808,6041.042398757522
3205010,200832446.08,195469000.76,194171415.92,27255,0.9732939302155214,0.9668328983188968,7368.645976151165
3205036,155397441.11,155356406.75,153789215.49,22285,0.9997359392811946,0.9896508873729677,6973.185600628226
3205200,2408596521.22,2280964280.23,2257546830.32,493242,0.9470097046701074,0.9372872585469442,4883.194296552199
3205309,3759930769.69,3451111246.27,3359782161.21,331785,0.9178656357426863,0.8935755382238084,11332.431453169975
3300100,2747779800.81,2578588179.66,2561273384.93,181228,0.938426062707017,0.9321246863285693,15162.004771944732
3300506,191437761.15,184614062.96,184370376.19,28166,0.9643555265742304,0.9630825970929403,6796.767774976923
3300605,305705629.5,298509878.89,297512795.29,35797,0.976461831528032,0.9732002507660724,8539.979034555969
3300803,558661407.12,513671974.5,508090758.71,53887,0.9194692311897316,0.9094788940752131,10367.276098502422
3302700,6749943138.11,6241244858.75,6197770037.2,223938,0.9246366570870942,0.9181958885264611,30142.017603577773
3303302,6765300174.88,6228729680.8,6051034858.67,523664,0.9206878512098663,0.8944222284678345,12919.162239298481
3303856,223268291.67,218032664.07,217962777.39,29390,0.976550061986686,0.976237045393612,7596.743506975161
3303955,183413766.01,178643498.53,172799777.64,24553,0.9739917696268234,0.9421309065240975,7470.116320205269
3304201,1112471656.25,1071738382.04,1069864974.36,128460,0.9633848880722887,0.961700883208457,8660.06271407442
3304524,1151672556.46,1080739105.26,1080502398.64,149562,0.9384083168413472,0.9382027839243109,7700.3019246867525
3305158,162264005.62,138463557.98,137508999.39,22125,0.8533226913198643,0.8474399412524498,7333.966355706215
3305505,2988358424.89,2495136397.24,2493132885.8,88755,0.8349521852727035,0.8342817464714833,33669.74733693876
3306008,593791343.66,588342026.97,553484892.65,76789,0.9908228424880505,0.9321201774994565,7732.765678157028
3306107,415429588.65,401078132.07,396433204.84,72264,0.9654539373889155,0.9542729157262689,5748.776550564596
3306156,120882129.82,113980533.61,113386830.2,10209,0.9429063979905314,0.9379949738546062,11840.741484964246
3500105,319695009.96,310704404.53,306270685.0,34357,0.9718775547008853,0.9580089630999257,9305.090955554908
3501608,1474680363.18,1458748174.64,1387778409.46,243674,0.9891961750235531,0.9410706510442679,6051.857658921346
3503208,1828517681.6,1661504928.33,1451330210.5,250304,0.9086622158753972,0.7937195385663697,7305.1876182562
3503307,980858913.49,961001788.11,933449627.03,131300,0.9797553704137262,0.9516655394491825,7470.36491614623
