orgao_cnpj,n_municipios,n_instrumentos_mapeados,municipio_ibge,municipio,uf,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_entropy_norm,count_hhi,count_neff,hhi_gap_value_minus_count,exposicao_degree,exposicao_strength,integracao_siconfi_principal,cod_ibge,despesa_empenhada_2025,despesa_liquidada_2025,despesa_paga_2025,populacao_siconfi_2025,liquidada_sobre_empenhada,paga_sobre_empenhada,despesa_empenhada_per_capita,portfolio_hhi_norm,count_hhi_norm,procurement_intensity_parcial,log_despesa_empenhada,log_populacao_siconfi,log_despesa_per_capita,instrumentos_por_fornecedor
13183513000127,1,13,4320008,Sapucaia do Sul,RS,4602493.32,13,13,0.3740375153822784,0.5713233713069246,0.8934687601024046,2.6735286137754595,0.5525915826750762,0.0769230769230769,12.999999999999996,0.2971144384592015,0.4258667556942397,0.933092961053517,True,4320008,641767463.05,621993151.86,600048100.01,130554.0,0.9691877318055008,0.9349930224855454,4915.724244756959,0.3218739749974683,-3.0068540250264654e-17,0.007171590311117753,20.279736588954176,11.779542213259576,8.5001943756946,1.0
13244984000106,1,5,1705508,Colinas do Tocantins,TO,253230.0,5,5,0.2745642361191763,0.3791020021324487,0.9960510208111204,3.6421349485806433,0.8420503446255457,0.2,4.999999999999999,0.0745642361191763,0.5154272231136443,0.6760411839258011,True,1705508,253406422.25,236878989.59,235334414.29,33967.0,0.9347789510887189,0.9286837018590992,7460.371014514088,0.09320529514897036,0.0,0.0009993037972422579,19.350505169847438,10.433144744037243,8.917360425810193,1.0
13358623000182,1,5,5205455,Cezarina,GO,99655.0,5,5,0.2462026805685173,0.3010385831117355,0.9826902814710752,4.061694201260752,0.8952466062653854,0.2,4.999999999999999,0.0462026805685172,0.7552888415675842,0.613048828329384,True,5205455,77293118.36,77293118.36,74208155.24,7722.0,1.0,0.960087480160504,10009.468837088836,0.057753350710646606,0.0,0.001289312711331524,18.163115484497656,8.951828676824181,9.211286807673474,1.0
13417917000138,1,66,4201257,Apiúna,SC,115240.522,66,24,0.078855862628165,0.147495270804136,0.4623072776431887,12.681365299564025,0.8776325178149957,0.0904499540863177,11.055837563451776,-0.0115940914581526,0.985367812127912,0.9036963547006934,True,4201257,83327349.94,78447871.79,77850011.1,11926.0,0.941442057697581,0.9342672142586561,6987.032528928392,0.03880611752504175,0.0509042999161576,0.001382985563359199,18.238287383860616,9.386476169683052,8.851811214177564,2.75
13449811000116,1,8,5219100,Santa Bárbara de Goiás,GO,89010.48000000001,8,8,0.2332178702485433,0.3707428608406561,0.8525342184425924,4.287836086206802,0.805830159025625,0.125,8.0,0.1082178702485433,0.7801483913834741,0.5952412919323309,True,5219100,50937824.54,49935335.26,49687920.38,6182.0,0.9803193542509304,0.9754621605597137,8239.699860886445,0.1236775659983352,0.0,0.0017474338726441421,17.746116320282482,8.729397122692061,9.01671919759042,1.0
13497205000176,1,52,4211108,Monte Castelo,SC,34819.35,52,36,0.0939889805884311,0.1895153126063525,0.5162457082053513,10.63954512262353,0.7697903485125364,0.0392011834319526,25.509433962264136,0.0547877971564784,0.987385510719391,0.7271589093651221,True,4211108,54590569.97,53759736.83,53754777.13,7754.0,0.9847806472719266,0.9846897945843155,7040.31080345628,0.06810295146238628,0.011749788672865533,0.0006378271928491461,17.81537171462668,8.955964118230874,8.859407596395807,1.4444444444444444
13577818000113,1,5,5214606,Niquelândia,GO,2138944.87,5,5,0.6501651031140839,0.7776203226780688,0.999116171703855,1.5380708610940794,0.3584342676354813,0.2,4.999999999999999,0.4501651031140838,0.4099294053397883,0.949302101333562,True,5214606,179803597.21,175727500.44,174675713.43,35609.0,0.9773302824123181,0.9714806385435607,5049.386312729928,0.5627063788926049,0.0,0.011896007105474305,19.00737568653136,10.480353693878078,8.527021992653284,1.0
13617528000156,1,5,4219309,Videira,SC,378534.15,5,5,0.3622781331278347,0.4660081527650808,0.9643651702230828,2.760310127929075,0.7445373369903625,0.2,4.999999999999999,0.1622781331278347,0.6138461907330218,0.7850870042623594,True,4219309,398741209.42,367957636.28,366676894.93,55921.0,0.9227981146348602,0.9195861532931596,7130.437750040235,0.20284766640979335,0.0,0.0009493228717207516,19.803823166478633,10.931695259437355,8.872127907041278,1.0
13633606000106,1,6,5219902,São Francisco de Goiás,GO,62911.6,6,5,0.5974552201901994,0.762975349538082,0.9705936584032198,1.6737656082101866,0.536787666251276,0.2222222222222222,4.499999999999999,0.3752329979679771,0.867904321702212,0.7503582179417323,True,5219902,48135932.26,43440144.41,40778220.25,6379.0,0.9024473479679107,0.8471472003438456,7545.999727229973,0.4968190252377492,0.02777777777777775,0.001306957132567645,17.68953948861858,8.760766624241956,8.928772864376624,1.2
13659627000109,1,5,5007695,São Gabriel do Oeste,MS,923535.4,5,5,0.250864022280679,0.332205349139838,0.8952850101901888,3.9862232571602094,0.9227835947544496,0.2,4.999999999999999,0.050864022280679,0.4095272879056663,0.821883867145885,True,5007695,339472825.21,328283821.2,326999599.1,31846.0,0.9670400598248817,0.9632570704229891,10659.82620140677,0.06358002785084874,0.0,0.00272049875988953,19.642904458195304,10.368667064416371,9.274237393778932,1.0
