orgao_cnpj,municipio_ibge,municipio,uf,instrumentos,compras,fornecedores,valor_inicial,share_origem_externa,lag_mediano
11634081000106,2807105,Simão Dias,SE,2,2,2,173800.0,0.0,38.5
11639339000159,3526704,Leme,SP,6,6,5,7120.0,0.0,6.0
11643598000153,4202131,Bela Vista do Toldo,SC,10,5,6,8469.15,1.0,0.5
11682696000108,3200805,Baixo Guandu,ES,1,1,1,27122.0,0.0,0.0
11692044000146,5214903,Nova Roma,GO,15,2,12,1340540.68,0.0,33.0
11712986000149,4211850,Ouro Verde,SC,1,1,1,110.29,1.0,2.0
11715955000141,4210308,Major Vieira,SC,1,1,1,9450.0,0.0,10.0
11718406000120,2800308,Aracaju,SE,1,1,1,306000.0,0.0,3.0
11722278000199,2906808,Cansanção,BA,10,4,10,1227599.76,0.0,1.0
11743299000190,4209102,Joinville,SC,1,1,1,590.0,1.0,14.0
11772824000104,1716505,Pedro Afonso,TO,1,1,1,30975.0,0.0,22.0
11810130000106,4208708,Jacinto Machado,SC,12,6,12,466906.93,1.0,2.0
11839890000146,5222203,Vila Boa,GO,6,1,6,330643.72,0.0,9.0
11840546000177,4209300,Lages,SC,10,5,8,66868.8512,0.9,1.0
11850969000178,2804508,Nossa Senhora da Glória,SE,11,3,11,726237.09,0.8181818181818182,1.0
11873495000180,4202099,Barra Bonita,SC,2,1,2,1117.6,1.0,8.5
11881834000170,3170701,Varginha,MG,1,1,1,5.0,0.0,3.0
11888327000168,4216107,São Domingos,SC,29,7,20,34345.95,1.0,2.0
11892520000172,3505807,Bastos,SP,6,5,6,33853.0,0.0,14.0
11924138000101,5213103,Mineiros,GO,53,17,41,669634.4400000001,0.0,10.0
11960753000165,4202701,Botuverá,SC,27,2,22,55942.657999999996,1.0,1.0
12063587000167,2613602,São José do Egito,PE,1,1,1,48000.0,0.0,13.0
12094507000130,4216701,São José do Cedro,SC,6,3,6,8835.06,1.0,1.0
12115907000185,4208450,Itapoá,SC,47,7,24,15731.88,1.0,1.0
12139961000160,4219853,Zortéa,SC,22,4,15,14058.328,1.0,1.0
12219015000124,2802908,Itabaiana,SE,3,1,3,142657.55,0.0,19.0
12251189000174,4218905,Urubici,SC,4,4,4,743850.25,1.0,25.5
12273240000149,4218756,Tunápolis,SC,4,1,4,3043.35,1.0,1.5
12298037000127,3526704,Leme,SP,8,8,6,12456.46,1.0,5.0
12321353000172,4213708,Pouso Redondo,SC,1,1,1,192456.0,0.0,0.0
12403446000146,4207858,Irati,SC,4,3,4,4949.9,1.0,1.0
12488175000179,4218905,Urubici,SC,46,8,21,646954.2159999999,0.9782608695652174,1.0
12592033000157,4205902,Gaspar,SC,2,2,2,599898.2,1.0,121.5
12652881000104,2406007,José da Penha,RN,1,1,1,21600.0,0.0,14.0
12755884000173,2803005,Itabaianinha,SE,2,2,2,16018.41,0.0,42.0
12816116000182,4216602,São José,SC,8,6,8,30047.68,1.0,2.0
12816323000137,4206702,Herval d'Oeste,SC,1,1,1,6801.0,1.0,7.0
12877385000159,4320909,Tapejara,RS,1,1,1,360.0,0.0,0.0
13007598000192,4214003,Presidente Getúlio,SC,1,1,1,9300.0,0.0,6.0
13034603000156,5008305,Três Lagoas,MS,3,2,3,513396.4,0.0,319.0
13128814001049,2804805,Nossa Senhora do Socorro,SE,1,1,1,25560.0,1.0,22.0
13133909000160,2604007,Carpina,PE,6,6,6,753982.39,0.6666666666666666,15.5
13170158000151,4208906,Jaraguá do Sul,SC,10,1,6,3112.05,1.0,1.0
13224498000118,2930204,Sento Sé,BA,1,1,1,62400.0,0.0,34.0
13286669000133,5213103,Mineiros,GO,3,1,1,11000.0,0.0,6.0
13358623000182,5205455,Cezarina,GO,3,3,3,52795.0,0.0,3.0
13449811000116,5219100,Santa Bárbara de Goiás,GO,1,1,1,3800.0,0.0,9.0
13577818000113,5214606,Niquelândia,GO,1,1,1,7500.0,0.0,4.0
13617528000156,4219309,Videira,SC,1,1,1,139200.0,0.0,7.0
13633606000106,5219902,São Francisco de Goiás,GO,1,1,1,3890.0,0.0,6.0
13659627000109,5007695,São Gabriel do Oeste,MS,1,1,1,75442.5,0.0,71.0
13743563000111,5217302,Pirenópolis,GO,4,4,4,123600.0,0.0,41.5
13749592000190,5211909,Jataí,GO,3,3,3,9513.35,0.0,0.0
13753471000112,2917706,Jaguarari,BA,3,3,3,858062.4,0.0,25.0
13864377000130,3550308,São Paulo,SP,134,49,55,26518847.24,0.0,220.5
